Element1,Element2,Pair,Hmix_BCC_eV,Hmix_FCC_eV,Hmix_HCP_eV,Hmix_BCC_kJ_mol,Hmix_FCC_kJ_mol,Hmix_HCP_kJ_mol,avg mixing enthalpy in kJ per mole
Co,Cr,Co-Cr,0.437518265,-0.233301187,-0.270735215,42.21409855,-22.5101444,-26.12197927,-2.139341704
Co,Cu,Co-Cu,0.413901199,0.475995461,0.47980732,39.93539789,45.92658392,46.2943724,44.05211807
Co,Fe,Co-Fe,-0.237880115,-0.149342169,0.089636643,-22.95194378,-14.40932993,8.648621928,-9.570883925
Co,Ga,Co-Ga,-0.389815809,-0.232293339,-0.284671369,-37.61151084,-22.41290177,-27.4666138,-29.16367547
Co,Ge,Co-Ge,-0.49452805,-0.078827656,-0.428898803,-47.71470704,-7.605713215,-41.38244678,-32.23428901
Co,Hf,Co-Hf,-0.753657545,-0.445399918,-0.419673477,-72.71690447,-42.97456248,-40.49233817,-52.06126837
Co,Hg,Co-Hg,1.338530821,1.634575764,1.672720556,129.1486014,157.7125983,161.3930116,149.4180704
Co,In,Co-In,0.75513201,0.950890227,1.036045821,72.85916873,91.7469669,99.96323332,88.18978965
Co,Ir,Co-Ir,-0.572468437,0.141256,-0.039248953,-55.23481183,13.62913319,-3.786948527,-15.13087572
Co,Mg,Co-Mg,0.516873079,0.591893169,0.775013894,49.87067474,57.10901363,74.77747904,60.58572247
Co,Mn,Co-Mn,-0.097318441,0.089569186,0.076549412,-9.389802892,8.642113389,7.385896092,2.212735529
Co,Mo,Co-Mo,0.454166137,-0.067727901,-0.175326165,43.82037419,-6.53474958,-16.91640464,6.789739991
Co,Nb,Co-Nb,0.007101896,-0.274075426,-0.231253431,0.685228874,-26.44426069,-22.31256594,-16.02386592
Co,Ni,Co-Ni,-0.021556641,-0.032817519,-0.065491599,-2.07989986,-3.166409455,-6.318979173,-3.855096162
Co,Os,Co-Os,-0.952655242,0.382805529,0.404633916,-91.91726498,36.9351216,39.04124098,-5.313634132
Co,Pb,Co-Pb,1.124697949,1.67367033,1.536756018,108.516864,161.4846508,148.2744268,139.4253139
Co,Pd,Co-Pd,0.230308221,1.016023569,0.994783828,22.22136703,98.03137948,95.98205582,72.07826744
Co,Pt,Co-Pt,-0.101106586,-0.22466741,-0.258330245,-9.755303351,-21.67711144,-24.92508152,-18.7858321
Co,Re,Co-Re,-0.262199957,0.258200425,0.190915032,-25.29845205,24.91255579,18.42050182,6.01153519
Co,Rh,Co-Rh,-0.18328757,0.565133058,0.575638069,-17.68456351,54.5270552,55.54063478,30.79437549
Co,Ru,Co-Ru,-0.52961275,0.495170896,0.400268515,-51.09986625,47.77673228,38.62004376,11.7656366
Co,Sb,Co-Sb,0.164132071,0.58518037,0.289222054,15.8363387,56.46132696,27.90568819,33.40111795
Co,Sc,Co-Sc,-0.449936491,-0.42920332,-0.304387908,-43.41227534,-41.41182826,-29.36897075,-38.06435811
Co,Si,Co-Si,-2.228965345,-1.774538027,-1.945013269,-215.0624792,-171.2169049,-187.6652665,-191.3148835
Co,Sn,Co-Sn,1.002360711,0.839334941,0.521397113,96.71311403,80.98351718,50.30717767,76.00126963
Co,Ta,Co-Ta,-0.178743048,-0.318799886,-0.426050314,-17.24608371,-30.75951542,-41.10760938,-29.70440284
Co,Te,Co-Te,-0.31524585,0.223891998,0.287409207,-30.41660302,21.6022955,27.7307751,6.305489195
Co,Ti,Co-Ti,-0.980362961,-0.680504444,-0.626406091,-94.59065364,-65.65870263,-60.43900469,-73.56278699
Co,V,Co-V,-0.399729591,-0.602418661,-0.598663534,-38.56804552,-58.12456935,-57.7622546,-51.48495649
Co,W,Co-W,0.52239822,-0.103167867,-0.217502804,50.40376987,-9.954186773,-20.98583197,6.487917043
Co,Y,Co-Y,0.156428979,0.097358628,0.124397211,15.0931032,9.393680276,12.00250722,12.1630969
Co,Zn,Co-Zn,-0.176545307,0.01840935,0.054755719,-17.03403402,1.776232394,5.283124141,-3.324892495
Co,Zr,Co-Zr,-0.337731204,-0.300915244,-0.212672446,-32.58611002,-29.0339096,-20.51977329,-27.37993097
Cr,Cu,Cr-Cu,1.12797539,0.328299094,0.503855396,108.833089,31.67604968,48.61465922,63.04126597
Cr,Fe,Cr-Fe,0.327295982,-0.368112286,-0.355786823,31.57926415,-35.5174391,-34.32821254,-12.75546249
Cr,Ga,Cr-Ga,0.28099574,-0.233501367,-0.43338121,27.11196951,-22.52945883,-41.8149334,-12.41080757
Cr,Ge,Cr-Ge,0.178340224,-0.360170061,-0.485569268,17.20721712,-34.75113082,-46.85031587,-21.46474319
Cr,Hf,Cr-Hf,0.656980909,0.298061624,0.48120742,63.38902635,28.75857711,46.42946153,46.192355
Cr,Hg,Cr-Hg,2.66510397,1.519693227,1.825840653,257.1434627,146.6281178,176.1668561,193.3128122
Cr,In,Cr-In,2.302637934,0.964526219,0.866350966,222.1708039,93.06264016,83.59016754,132.9412039
Cr,Ir,Cr-Ir,-0.930123076,-0.99944662,-1.289429841,-89.74324125,-96.43194694,-124.4110766,-103.5287549
Cr,Mg,Cr-Mg,1.772315776,1.027502394,1.087797633,171.0024903,99.13891781,104.9565244,125.0326442
Cr,Mn,Cr-Mn,-0.089573426,-0.146299027,-0.147673998,-8.642522487,-14.11571141,-14.24837586,-12.33553658
Cr,Mo,Cr-Mo,0.37548811,-0.277440516,-0.296514534,36.22909796,-26.76894254,-28.6093056,-6.383050062
Cr,Nb,Cr-Nb,0.525187925,-0.220611735,-0.030786167,50.67293551,-21.28579826,-2.970413839,8.80557447
Cr,Ni,Cr-Ni,0.229752397,-0.394549621,-0.363619171,22.16773819,-38.06825435,-35.08391937,-16.99481184
Cr,Os,Cr-Os,-1.058998325,-0.443813392,-0.330623416,-102.1778134,-42.82148607,-31.90031273,-58.96653742
Cr,Pb,Cr-Pb,2.829353687,1.926720872,2.127949138,272.9911525,185.9003185,205.315896,221.4024557
Cr,Pd,Cr-Pd,0.61932662,-0.31431917,-0.536585646,59.7559395,-30.32719199,-51.77264852,-7.447967001
Cr,Pt,Cr-Pt,-0.292899208,-1.142747302,-1.295899349,-28.26047962,-110.258362,-125.0352893,-87.85137697
Cr,Re,Cr-Re,-0.226644822,-0.082333812,0.103937075,-21.86790276,-7.944005893,10.02840402,-6.594501544
Cr,Rh,Cr-Rh,-0.400015051,-0.64106854,-0.83677086,-38.59558822,-61.85371605,-80.73612093,-60.39514173
Cr,Ru,Cr-Ru,-0.595492679,-0.339950075,-0.259671243,-57.45631358,-32.80019857,-25.05446812,-38.43699342
Cr,Sb,Cr-Sb,1.419782872,0.266632061,0.060063537,136.9882332,25.72608508,5.795250837,56.16985637
Cr,Sc,Cr-Sc,1.147697109,0.403071734,0.682895741,110.7359458,38.89051328,65.88942778,71.83862894
Cr,Si,Cr-Si,-1.41425274,-1.908528517,-1.852995488,-136.4546565,-184.1450229,-178.7868996,-166.462193
Cr,Sn,Cr-Sn,1.874877696,0.743091402,0.636938595,180.898212,71.69742662,61.4552369,104.6836252
Cr,Ta,Cr-Ta,0.408193815,-0.206165738,-0.094653516,39.38471903,-19.89197128,-9.132676698,3.453357017
Cr,Te,Cr-Te,0.30362113,-0.666246514,-0.348464554,29.29498796,-64.2830214,-33.62172095,-22.86991813
Cr,Ti,Cr-Ti,0.058996271,-0.095523719,-0.053161737,5.69227529,-9.216638482,-5.129328318,-2.884563836
Cr,V,Cr-V,-0.221820687,-0.499016811,-0.570703116,-21.40244445,-48.1478067,-55.06448421,-41.53824512
Cr,W,Cr-W,0.405750259,-0.292551564,-0.209087025,39.14895167,-28.2269371,-20.1738327,-3.083939374
Cr,Y,Cr-Y,1.957815992,1.239182006,1.342095906,188.9005417,119.5628972,129.4925798,145.9853396
Cr,Zn,Cr-Zn,0.570979112,-0.045913659,0.186474053,55.0911138,-4.429994975,17.99201236,22.88437706
Cr,Zr,Cr-Zr,1.066568521,0.458711032,0.518454238,102.9082264,44.25888993,50.02323338,65.73011657
Cu,Fe,Cu-Fe,0.543836771,0.216000967,0.209131891,52.47227578,20.84092679,20.17816163,31.16378807
Cu,Ga,Cu-Ga,-0.116992415,-0.024405183,-0.08237676,-11.28805294,-2.354742331,-7.948149697,-7.196981656
Cu,Ge,Cu-Ge,0.056255869,0.066962208,0.105317317,5.427866623,6.460871358,10.16157719,7.350105056
Cu,Hf,Cu-Hf,-0.177016372,0.114833617,0.205942696,-17.07948489,11.07976063,19.87045107,4.623575603
Cu,Hg,Cu-Hg,0.903505966,0.827237334,0.798457435,87.17508035,79.81627541,77.03943709,81.34359761
Cu,In,Cu-In,0.670980977,0.454471524,0.332694726,64.73982775,43.84983949,32.10016378,46.89661034
Cu,Ir,Cu-Ir,-0.643494859,0.422970549,0.311140194,-62.08782023,40.81045721,30.02046738,2.914368118
Cu,Mg,Cu-Mg,-0.085751948,0.029906084,0.018717206,-8.27380581,2.885498659,1.805936009,-1.194123714
Cu,Mn,Cu-Mn,0.427335889,0.604153256,0.508933752,41.23164852,58.29193234,49.10464615,49.54274234
Cu,Mo,Cu-Mo,1.035630264,0.291426639,0.240752657,99.92313811,28.11839832,23.22910201,50.42354615
Cu,Nb,Cu-Nb,0.624346546,0.16779259,0.150529533,60.24028879,16.1895251,14.52389312,30.31790234
Cu,Ni,Cu-Ni,0.057977606,0.096570049,0.086485676,5.593989051,9.317593987,8.344599878,7.752060972
Cu,Os,Cu-Os,-0.485242519,1.11790554,1.070129998,-46.8187894,107.8614961,103.2518567,54.76485445
Cu,Pb,Cu-Pb,1.034765386,0.895042425,0.870262669,99.83969011,86.35847269,83.96758948,90.05525076
Cu,Pd,Cu-Pd,-0.335199785,-0.330682621,-0.34911492,-32.34186522,-31.90602514,-33.68447176,-32.64412071
Cu,Pt,Cu-Pt,-0.4073138,-0.421203752,-0.41559302,-39.29981048,-40.63998727,-40.09863384,-40.01281053
Cu,Re,Cu-Re,0.55672686,0.934684637,0.923379949,53.71598037,90.18336504,89.0926283,77.66399124
Cu,Rh,Cu-Rh,-0.272950062,0.190526596,0.182761011,-26.33567958,18.38302342,17.63375831,3.227034048
Cu,Ru,Cu-Ru,-0.290223591,0.772998971,0.733966806,-28.00232188,74.58306856,70.81703685,39.13259451
Cu,Sb,Cu-Sb,0.260979464,0.10614852,0.127624901,25.18069229,10.24177604,12.31393199,15.91213344
Cu,Sc,Cu-Sc,-0.424738054,-0.288919449,-0.183326587,-40.98099553,-27.87649125,-17.68832813,-28.84860497
Cu,Si,Cu-Si,-0.273878626,-0.354199745,-0.273166072,-26.42527237,-34.17508282,-26.35652138,-28.98562553
Cu,Sn,Cu-Sn,0.533857901,0.424456595,0.338708895,51.50946111,40.95383888,32.6804429,41.71458096
Cu,Ta,Cu-Ta,0.66886821,0.384728056,0.242875051,64.53597666,37.12061731,23.4338819,41.69682529
Cu,Te,Cu-Te,-0.37193374,-0.318796955,0.007937901,-35.88615336,-30.75923259,0.765891101,-21.95983162
Cu,Ti,Cu-Ti,-0.200100297,-0.044290256,0.065869539,-19.30674524,-4.273360433,6.355444842,-5.74155361
Cu,V,Cu-V,0.595021542,0.184630399,0.226834901,57.41085584,17.8141268,21.88624257,32.3704084
Cu,W,Cu-W,1.391160559,0.530886667,0.447813896,134.2265995,51.22278062,43.20747604,76.21895205
Cu,Y,Cu-Y,-0.116672823,-0.212811892,-0.18399256,-11.25721695,-20.5332278,-17.75258471,-16.51434315
Cu,Zn,Cu-Zn,-0.40952889,-0.268928838,-0.268838639,-39.51353419,-25.94769032,-25.93898746,-30.46673733
Cu,Zr,Cu-Zr,-0.055912363,0.012518284,0.137619261,-5.394723306,1.207830864,13.27824121,3.03044959
Fe,Ga,Fe-Ga,-0.229361358,-0.360965259,-0.532460963,-22.13000856,-34.82785572,-51.374677,-36.11084709
Fe,Ge,Fe-Ge,-0.119366586,-0.295887019,-0.58471414,-11.51712566,-28.54875961,-56.4163426,-32.16074262
Fe,Hf,Fe-Hf,-0.079277751,-0.083092189,-0.20387502,-7.649140784,-8.017178083,-19.67095062,-11.77908983
Fe,Hg,Fe-Hg,1.726041965,1.311780649,1.190379562,166.5377458,126.5676019,114.8541768,135.9865082
Fe,In,Fe-In,1.2150993,0.835319619,0.596746235,117.2392691,80.59609742,57.57726338,85.1375433
Fe,Ir,Fe-Ir,-0.959850995,-0.306541109,-0.541158836,-92.6115496,-29.5767231,-52.21389431,-58.13405567
Fe,Mg,Fe-Mg,0.870780889,0.617543971,0.563595521,84.01759012,59.58394003,54.37870549,65.99341188
Fe,Mn,Fe-Mn,0.043401867,-0.155218783,-0.26372482,4.187643942,-14.976337,-25.44557892,-12.07809066
Fe,Mo,Fe-Mo,0.525432522,-0.167392799,-0.211629546,50.69653558,-16.1509511,-20.41914872,4.708811919
Fe,Nb,Fe-Nb,0.23124036,-0.213503012,-0.241952282,22.31130476,-20.59991075,-23.34484824,-7.211151412
Fe,Ni,Fe-Ni,-0.13223495,-0.331049326,-0.432147479,-12.75873411,-31.9414068,-41.69589642,-28.79867911
Fe,Os,Fe-Os,-1.047706114,0.044146599,0.021745367,-101.0882806,4.25949959,2.098109177,-31.57689061
Fe,Pb,Fe-Pb,1.354419212,1.498913182,1.174974023,130.6815982,144.623148,113.3677681,129.5575048
Fe,Pd,Fe-Pd,-0.036653271,-0.361763224,-0.484801758,-3.536503339,-34.90484764,-46.7762624,-28.40587113
Fe,Pt,Fe-Pt,-0.497277111,-0.822728788,-0.976344086,-47.97995115,-79.38126679,-94.20289112,-73.85470302
Fe,Re,Fe-Re,-0.150704194,0.059472097,-0.047021792,-14.54074537,5.738185548,-4.536913637,-4.446491154
Fe,Rh,Fe-Rh,-0.476387616,-0.220720568,-0.341884595,-45.96442113,-21.296299,-32.98685139,-33.41585717
Fe,Ru,Fe-Ru,-0.610506932,0.076469269,0.13781862,-58.90496895,7.378163395,13.29747641,-12.74310972
Fe,Sb,Fe-Sb,0.352561034,0.165082661,-0.156984844,34.01697121,15.9280567,-15.14673602,11.59943063
Fe,Sc,Fe-Sc,0.225468674,-0.197185065,-0.026160399,21.75442165,-19.02546804,-2.524094968,0.068286213
Fe,Si,Fe-Si,-1.675660606,-1.816774006,-1.998386988,-161.6766833,-175.2920577,-192.8150479,-176.5945963
Fe,Sn,Fe-Sn,1.149936049,0.622784054,0.490390778,110.9519706,60.08953117,47.3155209,72.78567424
Fe,Ta,Fe-Ta,0.072448995,-0.232129053,-0.371774076,6.990265915,-22.39705055,-35.87074815,-17.09251093
Fe,Te,Fe-Te,-0.069612784,0.056978691,-0.280329918,-6.716613108,5.497608398,-27.0477274,-9.422244038
Fe,Ti,Fe-Ti,-0.657530391,-0.536610274,-0.543997726,-63.44204336,-51.77502471,-52.48780558,-55.90162455
Fe,V,Fe-V,-0.430827081,-0.591228132,-0.648797005,-41.56849742,-57.04484738,-62.59939962,-53.73758147
Fe,W,Fe-W,0.600309231,-0.198236648,-0.249689075,57.92104028,-19.12693033,-24.0913353,4.900924884
Fe,Y,Fe-Y,1.058271317,0.286142605,0.515261054,102.1076679,27.60856653,49.71513796,59.81045746
Fe,Zn,Fe-Zn,-0.016745285,-0.196834186,-0.176847106,-1.615674517,-18.99161338,-17.06315317,-12.55681369
Fe,Zr,Fe-Zr,0.243580626,-0.093594039,-0.00807999,23.50195954,-9.030452651,-0.779600582,4.563968769
Ga,Ge,Ga-Ge,-0.04107035,-0.023840967,0.004818815,-3.962686684,-2.300303855,0.464945004,-1.932681845
Ga,Hf,Ga-Hf,-1.509511001,-1.183637968,-0.91939662,-145.6456822,-114.2037117,-88.70829548,-116.1858965
Ga,Hg,Ga-Hg,0.232802819,0.267152631,0.29838502,22.46205912,25.77631246,28.78978011,25.67605056
Ga,In,Ga-In,0.085516015,0.134881477,0.150079535,8.251041783,13.01408522,14.48047496,11.91520065
Ga,Ir,Ga-Ir,-1.608648343,-0.642082107,-0.952840394,-155.2109823,-61.95151045,-91.93512936,-103.0325407
Ga,Mg,Ga-Mg,-0.391119295,-0.381760654,-0.31555505,-37.73727816,-36.83430648,-30.44643629,-35.00600697
Ga,Mn,Ga-Mn,-0.246725801,-0.093262744,-0.079305685,-23.80542282,-8.99848754,-7.651835981,-13.48524878
Ga,Mo,Ga-Mo,-0.123152219,-0.690976766,-0.746641509,-11.8823837,-66.66912822,-72.03995983,-50.19715725
Ga,Nb,Ga-Nb,-0.814254079,-1.237722652,-1.155622832,-78.56358163,-119.422091,-111.5006619,-103.1621115
Ga,Ni,Ga-Ni,-1.119837885,-0.764100016,-0.971199409,-108.0479391,-73.72444986,-93.70650516,-91.82629803
Ga,Os,Ga-Os,-1.055740374,0.369190725,0.551995416,-101.8634689,35.62149263,53.25946542,-4.327503624
Ga,Pb,Ga-Pb,0.229224884,0.232965121,0.255654764,22.11684085,22.47771893,24.6669368,23.08716553
Ga,Pd,Ga-Pd,-2.019476778,-1.791650474,-1.954812608,-194.8499035,-172.8680051,-188.6107591,-185.4428892
Ga,Pt,Ga-Pt,-2.055721088,-1.532336186,-1.897739596,-198.3469481,-147.8479779,-183.1040502,-176.4329921
Ga,Re,Ga-Re,-0.018219317,0.514358833,0.532948286,-1.757897044,49.62808684,51.4216966,33.09729546
Ga,Rh,Ga-Rh,-2.17973244,-1.522951667,-1.706247678,-210.3122256,-146.9425094,-164.6278873,-173.9608741
Ga,Ru,Ga-Ru,-1.496420375,-0.64547,-0.457185872,-144.3826287,-62.27839241,-44.11173435,-83.59091848
Ga,Sb,Ga-Sb,-0.079159976,-0.189915972,-0.317365111,-7.637777223,-18.32410718,-30.62108066,-18.86098835
Ga,Sc,Ga-Sc,-1.757880902,-1.475384303,-1.649230375,-169.6097366,-142.3529561,-159.1265535,-157.0297487
Ga,Si,Ga-Si,0.022594655,-0.03514326,-0.157444111,2.18005297,-3.39080939,-15.1910486,-5.467268342
Ga,Sn,Ga-Sn,0.099141509,0.062508618,0.108313367,9.56570218,6.031165212,10.45065209,8.682506494
Ga,Ta,Ga-Ta,-0.437776915,-0.797696716,-0.788444884,-42.23905449,-76.96603888,-76.07337268,-65.09282202
Ga,Te,Ga-Te,-1.21280316,-1.218281175,-0.664917295,-117.0177252,-117.5462734,-64.15477128,-99.5729233
Ga,Ti,Ga-Ti,-1.526658841,-1.31025914,-1.077560055,-147.3001974,-126.4207986,-103.9687483,-125.8965814
Ga,V,Ga-V,-0.580377596,-0.84639427,-0.940307114,-55.9979297,-81.66463892,-90.72585157,-76.1294734
Ga,W,Ga-W,0.595633991,-0.111447094,-0.190794392,57.46994816,-10.75301073,-18.40886183,9.436025199
Ga,Y,Ga-Y,-1.722431958,-1.400772689,-1.555456064,-166.189433,-135.1540291,-150.0787072,-150.4740564
Ga,Zn,Ga-Zn,0.053794795,0.078920841,0.185733887,5.190409086,7.614704201,17.92059728,10.24190352
Ga,Zr,Ga-Zr,-1.680842925,-1.402006654,-1.232426952,-162.1767011,-135.2730887,-118.9111335,-138.7869744
Ge,Hf,Ge-Hf,-2.322671686,-1.799550185,-2.006941454,-224.1037674,-173.6302114,-193.6404285,-197.1248024
Ge,Hg,Ge-Hg,0.388048012,0.219088593,0.114292759,37.44094442,21.13883734,11.02757569,23.20245248
Ge,In,Ge-In,0.053731496,0.051604604,0.050331451,5.184301684,4.979087738,4.856247187,5.006545536
Ge,Ir,Ge-Ir,-1.292720446,-0.165039175,-0.753343321,-124.7285718,-15.92386091,-72.68658649,-71.11300639
Ge,Mg,Ge-Mg,-0.725748562,-0.652738956,-0.819255371,-70.02409681,-62.97974013,-79.04613304,-70.68332332
Ge,Mn,Ge-Mn,-0.581654564,-0.16855224,-0.349164531,-56.12113835,-16.26282018,-33.68925851,-35.35773901
Ge,Mo,Ge-Mo,-0.184716869,-0.76961654,-0.848204134,-17.82246989,-74.25671353,-81.83926423,-57.97281588
Ge,Nb,Ge-Nb,-1.33867134,-1.516645859,-1.596570336,-129.1621594,-146.3340913,-154.0456317,-143.1806275
Ge,Ni,Ge-Ni,-1.018308111,-0.635020692,-1.0271575,-98.25180434,-61.27018742,-99.10564062,-86.20921079
Ge,Os,Ge-Os,-0.841932579,0.65760106,0.736889035,-81.23415112,63.44886186,71.09898908,17.77123327
Ge,Pb,Ge-Pb,0.128879189,0.15910323,0.160728147,12.43495235,15.35112924,15.50790996,14.43133052
Ge,Pd,Ge-Pd,-1.818592494,-1.500807508,-1.766448401,-175.4675151,-144.8059226,-170.4363746,-163.5699374
Ge,Pt,Ge-Pt,-1.268159911,-1.175141409,-1.556566716,-122.3588402,-113.3839184,-150.1858689,-128.6428758
Ge,Re,Ge-Re,0.066854457,0.650567208,0.607919782,6.450475062,62.77019821,58.65534691,42.62534006
Ge,Rh,Ge-Rh,-2.226493006,-1.289257577,-1.842038751,-214.8239347,-124.3944557,-177.7297352,-172.3160419
Ge,Ru,Ge-Ru,-1.365621567,-0.497513604,-0.539298797,-131.7624613,-48.00276921,-52.03442784,-77.26655277
Ge,Sb,Ge-Sb,-0.224880616,-0.173318436,-0.270484971,-21.69768272,-16.72268825,-26.09783442,-21.50606846
Ge,Sc,Ge-Sc,-2.868754853,-2.304808876,-2.958330629,-276.7927873,-222.3802681,-285.4355365,-261.5361973
Ge,Si,Ge-Si,-0.114018916,-0.1598214,-0.399332189,-11.0011539,-15.42042212,-38.529702,-21.65042601
Ge,Sn,Ge-Sn,0.023448901,0.04048531,-0.154694975,2.26247521,3.9062389,-14.92579726,-2.919027716
Ge,Ta,Ge-Ta,-0.881448801,-0.98957836,-1.169428471,-85.04688728,-95.47980452,-112.8327037,-97.78646515
Ge,Te,Ge-Te,-0.929191426,-0.845370997,-0.600754682,-89.65335069,-81.56590812,-57.9640198,-76.3944262
Ge,Ti,Ge-Ti,-2.333167133,-1.89093928,-2.103770743,-225.1164241,-182.4479194,-202.9830354,-203.5157929
Ge,V,Ge-V,-1.090886094,-1.08021903,-1.343856696,-105.2545157,-104.2253004,-129.6624702,-113.0474288
Ge,W,Ge-W,0.779405774,-0.139736241,-0.202706888,75.20123108,-13.48249875,-19.55824296,14.05349646
Ge,Y,Ge-Y,-2.953906056,-2.142518748,-3.03139908,-285.0086302,-206.7216498,-292.4855709,-261.4052836
Ge,Zn,Ge-Zn,-0.034603434,0.083383846,0.147851551,-3.338724071,8.045318756,14.26550719,6.324033959
Ge,Zr,Ge-Zr,-2.554594618,-2.026736383,-2.453445066,-246.4809302,-195.550349,-236.7214814,-226.2509202
Hf,Hg,Hf-Hg,-0.126638095,0.043015087,0.247339531,-12.21871965,4.150325343,23.86463877,5.265414819
Hf,In,Hf-In,-0.580357428,-0.453499919,-0.208707494,-55.99598371,-43.75609385,-20.1372135,-39.96309702
Hf,Ir,Hf-Ir,-3.875830019,-2.277059584,-2.461544714,-373.9607771,-219.7028681,-237.5029786,-277.0555413
Hf,Mg,Hf-Mg,0.158848879,0.322971974,0.47534149,15.32658807,31.1620607,45.86348528,30.78404468
Hf,Mn,Hf-Mn,-0.027917631,0.45355352,0.362128175,-2.693642143,43.76126559,34.94006009,25.33589451
Hf,Mo,Hf-Mo,-0.322025751,-0.225047684,-0.226168974,-31.0707641,-21.71380228,-21.82199033,-24.86885224
Hf,Nb,Hf-Nb,-0.13492374,-0.064361546,-0.048906384,-13.01816293,-6.209945673,-4.718749064,-7.982285888
Hf,Ni,Hf-Ni,-1.241640395,-0.813233631,-0.8589956,-119.8000957,-78.46512341,-82.88048252,-93.71523387
Hf,Os,Hf-Os,-2.516735395,-0.914247154,-0.489963978,-242.8280703,-88.21144747,-47.27434096,-126.1046196
Hf,Pb,Hf-Pb,0.056986755,0.288951014,0.462217442,5.498386432,27.87953681,44.59720709,25.99171011
Hf,Pd,Hf-Pd,-2.445089974,-2.045260655,-1.944589716,-235.9153374,-197.3376697,-187.6243999,-206.9591357
Hf,Pt,Hf-Pt,-3.679268265,-3.058981456,-3.051481489,-354.9954495,-295.1468659,-294.4232289,-314.8551814
Hf,Re,Hf-Re,-1.344691901,-0.126190734,0.18579676,-129.7430553,-12.17555585,17.92666356,-41.33064919
Hf,Rh,Hf-Rh,-3.270290205,-2.235767398,-2.321539098,-315.5350623,-215.7187775,-223.9944891,-251.749443
Hf,Ru,Hf-Ru,-2.417593496,-1.182240026,-1.000188056,-233.2623305,-114.0688309,-96.50348467,-147.944882
Hf,Sb,Hf-Sb,-1.764351895,-1.490453689,-1.490691891,-170.2340925,-143.8069309,-143.829914,-152.6236458
Hf,Sc,Hf-Sc,-0.132313479,0.028759716,0.011241856,-12.76631098,2.774891001,1.084674323,-2.96891522
Hf,Si,Hf-Si,-2.815082529,-2.204528179,-2.552045924,-271.6141949,-212.7046509,-246.2350186,-243.5179548
Hf,Sn,Hf-Sn,-1.228203274,-0.916180087,-0.65576264,-118.5036105,-88.39794724,-63.27148128,-90.05767966
Hf,Ta,Hf-Ta,0.049772896,0.176715254,0.090036494,4.802354817,17.05043134,8.687201712,10.17999596
Hf,Te,Hf-Te,-1.935472193,-1.841530389,-2.298626556,-186.7446926,-177.6806857,-221.7837648,-195.4030477
Hf,Ti,Hf-Ti,-0.178017089,0.128497864,0.139975685,-17.17603933,12.39816007,13.50560156,2.909240766
Hf,V,Hf-V,0.328733739,0.346228789,0.499490214,31.71798655,33.4060024,48.1934831,37.77249068
Hf,W,Hf-W,0.023461598,0.081593109,-0.005237687,2.263700212,7.872538839,-0.505360059,3.210292997
Hf,Y,Hf-Y,0.137083348,0.486156674,0.490628034,13.22653339,46.90699196,47.33841265,35.82397933
Hf,Zn,Hf-Zn,-0.649647466,-0.319683058,-0.115942612,-62.68145666,-30.8447285,-11.18676239,-34.90431585
Hf,Zr,Hf-Zr,-0.15258072,-0.001078709,0.003226112,-14.72180265,-0.104079581,0.311272561,-4.838203222
Hg,In,Hg-In,0.070298384,0.011656721,0.068261026,6.782763458,1.124702713,6.586188326,4.831218166
Hg,Ir,Hg-Ir,0.845927033,1.990862805,1.953703019,81.61955735,192.0890746,188.5037,154.0707773
Hg,Mg,Hg-Mg,-0.547985889,-0.494603595,-0.461877289,-52.87260479,-47.72199603,-44.56438724,-48.38632935
Hg,Mn,Hg-Mn,1.349672546,1.426329782,1.458719836,130.2236145,137.619914,140.7450794,136.1962026
Hg,Mo,Hg-Mo,2.083364121,1.087937613,1.231056251,201.0140956,104.9700304,118.778881,141.587669
Hg,Nb,Hg-Nb,1.10151102,0.449993159,0.618872069,106.2796653,43.41774292,59.71208197,69.80316339
Hg,Ni,Hg-Ni,1.167877855,1.170034645,1.06829695,112.6830919,112.8911905,103.0749944,109.549759
Hg,Os,Hg-Os,1.357461165,2.972516706,3.218194793,130.975102,286.8042851,310.5086187,242.7626686
Hg,Pb,Hg-Pb,0.028615135,0.102663757,0.110168786,2.76094103,9.905547548,10.6296728,7.765387125
Hg,Pd,Hg-Pd,-0.272132439,-0.224803967,-0.28654639,-26.25679088,-21.69028724,-27.64752586,-25.19820133
Hg,Pt,Hg-Pt,0.404966332,0.495593304,0.392591817,39.07331428,47.81748841,37.87935499,41.59005256
Hg,Re,Hg-Re,2.554780005,2.806476826,2.194357374,246.4988174,270.7838708,211.7233173,243.0020018
Hg,Rh,Hg-Rh,0.520066942,0.9215048,0.905042893,50.17883577,88.91170394,87.3233712,75.47130364
Hg,Ru,Hg-Ru,0.898782679,1.919065254,2.076707619,86.71935235,185.1616635,200.3718407,157.4176188
Hg,Sb,Hg-Sb,-0.008718068,-0.177891232,-0.097919636,-0.841165707,-17.16389605,-9.447809396,-9.150957051
Hg,Sc,Hg-Sc,-1.112236364,-0.926436231,-0.81543168,-107.3145037,-89.38751476,-78.67720289,-91.79307379
Hg,Si,Hg-Si,0.305380576,0.529288284,0.180384758,29.46474873,51.06856002,17.40448466,32.64593113
Hg,Sn,Hg-Sn,0.149127076,0.1385242,0.184803259,14.38857666,13.36555454,17.83080525,15.19497881
