Element1,Element2,Pair,Hmix_BCC_eV,Hmix_FCC_eV,Hmix_HCP_eV,Hmix_BCC_kJ_mol,Hmix_FCC_kJ_mol,Hmix_HCP_kJ_mol,avg mixing enthalpy in kJ per mole
Al,Ir,Al-Ir,-3.405008456,-2.009726852,-2.431890747,-328.5333986,-193.9091787,-234.6418056,-252.361461
Al,Mg,Al-Mg,0.022789285,0.085400702,0.100699444,2.198831912,8.239915817,9.716020068,6.718255932
Al,Mn,Al-Mn,-0.90005413,-0.56247982,-0.526610524,-86.84202875,-54.27105668,-50.81019543,-63.97442695
Al,Mo,Al-Mo,-0.842938845,-1.091949644,-1.138582782,-81.33124106,-105.3571326,-109.8565469,-98.84830686
Al,Nb,Al-Nb,-1.026333297,-1.353304974,-1.274666071,-99.02611716,-130.5740905,-122.9865893,-117.5289323
Al,Ni,Al-Ni,-2.000105981,-1.477993043,-1.771324004,-192.9809056,-142.6046612,-170.9067988,-168.8307885
Al,Os,Al-Os,-2.38429073,-0.837612494,-0.742941936,-230.0491017,-80.81732625,-71.68300532,-127.5164778
Al,Pb,Al-Pb,0.733368538,0.757033219,0.708726534,70.75931269,73.0426075,68.38172058,70.72788025
Al,Pd,Al-Pd,-2.968167715,-2.541342935,-2.806168209,-286.3846712,-245.2023371,-270.7540937,-267.447034
Al,Pt,Al-Pt,-3.554072165,-2.798235084,-3.262532612,-342.9158612,-269.9886635,-314.7865684,-309.2303644
Al,Re,Al-Re,-1.149956628,-0.39978109,-0.442938125,-110.9539562,-38.57301439,-42.73703559,-64.08800206
Al,Rh,Al-Rh,-3.36932648,-2.488012198,-2.793476246,-325.090611,-240.0567028,-269.5295054,-278.2256064
Al,Ru,Al-Ru,-2.546465314,-1.54395943,-1.422144702,-245.6965716,-148.9694505,-137.2161151,-177.2940458
Al,Sb,Al-Sb,0.01977386,0.10429676,-0.0621534,1.907887605,10.06310835,-5.996891931,1.991368008
Al,Sc,Al-Sc,-1.356389741,-1.006510336,-0.94605196,-130.8717254,-97.11349201,-91.28014502,-106.4217875
Al,Si,Al-Si,-0.274607617,-0.190472487,-0.129266574,-26.49560934,-18.37780272,-12.47232932,-19.11524713
Al,Sn,Al-Sn,0.411852637,0.463758667,0.483281964,39.73774176,44.74591271,46.62962459,43.70442635
Al,Ta,Al-Ta,-0.776833466,-1.018211641,-1.03101611,-74.95304111,-98.2424964,-99.47793992,-90.89115914
